java_file,go_file,status
noding/snapround/GeometryNoder.java,noding_snapround_geometry_noder.go,ported
noding/snapround/HotPixelIndex.java,noding_snapround_hot_pixel_index.go,ported
noding/snapround/HotPixel.java,noding_snapround_hot_pixel.go,ported
noding/snapround/HotPixelTest.java,noding_snapround_hot_pixel_test.go,ported
noding/snapround/MCIndexPointSnapper.java,noding_snapround_mc_index_point_snapper.go,ported
noding/snapround/MCIndexSnapRounder.java,noding_snapround_mc_index_snap_rounder.go,ported
noding/snapround/SegmentStringNodingTest.java,noding_snapround_segment_string_noding_test.go,ported
noding/snapround/SnapRoundingIntersectionAdder.java,noding_snapround_snap_rounding_intersection_adder.go,ported
noding/snapround/SnapRoundingNoder.java,noding_snapround_snap_rounding_noder.go,ported
noding/snapround/SnapRoundingNoderTest.java,noding_snapround_snap_rounding_noder_test.go,ported
noding/snapround/SnapRoundingTest.java,noding_snapround_snap_rounding_test.go,ported
noding/snap/SnappingIntersectionAdder.java,noding_snap_snapping_intersection_adder.go,ported
noding/snap/SnappingNoder.java,noding_snap_snapping_noder.go,ported
noding/snap/SnappingNoderTest.java,noding_snap_snapping_noder_test.go,ported
noding/snap/SnappingPointIndex.java,noding_snap_snapping_point_index.go,ported
noding/ValidatingNoder.java,noding_validating_noder.go,ported
operation/BoundaryOp.java,operation_boundary_op.go,ported
operation/buffer/BufferBuilder.java,operation_buffer_buffer_builder.go,pending
operation/buffer/BufferCurveSetBuilder.java,operation_buffer_buffer_curve_set_builder.go,pending
operation/buffer/BufferInputLineSimplifier.java,operation_buffer_buffer_input_line_simplifier.go,pending
operation/buffer/BufferOp.java,operation_buffer_buffer_op.go,pending
operation/buffer/BufferParameters.java,operation_buffer_buffer_parameters.go,pending
operation/buffer/BufferSubgraph.java,operation_buffer_buffer_subgraph.go,pending
operation/buffer/OffsetCurveBuilder.java,operation_buffer_offset_curve_builder.go,pending
operation/buffer/OffsetCurve.java,operation_buffer_offset_curve.go,pending
operation/buffer/OffsetCurveSection.java,operation_buffer_offset_curve_section.go,pending
operation/buffer/OffsetSegmentGenerator.java,operation_buffer_offset_segment_generator.go,pending
operation/buffer/OffsetSegmentString.java,operation_buffer_offset_segment_string.go,pending
operation/buffer/RightmostEdgeFinder.java,operation_buffer_rightmost_edge_finder.go,pending
operation/buffer/SegmentMCIndex.java,operation_buffer_segment_mc_index.go,pending
operation/buffer/SubgraphDepthLocater.java,operation_buffer_subgraph_depth_locater.go,pending
operation/buffer/validate/BufferCurveMaximumDistanceFinder.java,operation_buffer_validate_buffer_curve_max_distance_finder.go,pending
operation/buffer/validate/BufferDistanceValidator.java,operation_buffer_validate_buffer_distance_validator.go,pending
operation/buffer/validate/BufferResultValidator.java,operation_buffer_validate_buffer_result_validator.go,pending
operation/buffer/validate/DistanceToPointFinder.java,operation_buffer_validate_distance_to_point_finder.go,pending
operation/buffer/validate/PointPairDistance.java,operation_buffer_validate_point_pair_distance.go,pending
operation/buffer/VariableBuffer.java,operation_buffer_variable_buffer.go,pending
operation/GeometryGraphOperation.java,operation_geometry_graph_operation.go,ported
operation/linemerge/EdgeString.java,operation_linemerge_edge_string.go,ported
operation/linemerge/LineMergeDirectedEdge.java,operation_linemerge_line_merge_directed_edge.go,ported
operation/linemerge/LineMergeEdge.java,operation_linemerge_line_merge_edge.go,ported
operation/linemerge/LineMergeGraph.java,operation_linemerge_line_merge_graph.go,ported
operation/linemerge/LineMerger.java,operation_linemerge_line_merger.go,ported
operation/linemerge/LineMergerTest.java,operation_linemerge_line_merger_test.go,ported
operation/linemerge/LineSequencer.java,operation_linemerge_line_sequencer.go,ported
operation/linemerge/LineSequencerTest.java,operation_linemerge_line_sequencer_test.go,ported
